Titel,Journal,Year,Autoren,doi,pmid,Quelle,doi_norm,Titel_norm,Inkludiere_Titel_Abstract,Inkludiere_Volltext,Erster_Ausschlussgrund,Zweiter_Ausschlussgrund,Dritter_Ausschlussgrund,Vierter_Ausschlussgrund,Notizen
Effect of combined interval training on the cardiorespiratory fitness in heart failure patients: a systematic review and meta-analysis,Brazilian Journal of Physical Therapy,2020,"Jesus, Incare Correa De; Menezes Junior, Francisco José de; Bento, Paulo Cesar Barauce; Wiens, Astrid; Mota, Jorge; Leite, Neiva",https://doi.org/10.1016/j.bjpt.2019.04.001,,ScienceDirect,10.1016/j.bjpt.2019.04.001,effect of combined interval training on the cardiorespiratory fitness in heart failure patients a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,Falsche Population,Keine Kraft- und/oder Power-Outcome,,
Effect of Concurrent Training on Body Composition and Gut Microbiota in Postmenopausal Women with Overweight or Obesity.,Medicine and science in sports and exercise,2022,Dupuit M; Rance M; Morel C; Bouillon P; Boscaro A; Martin V; Vazeille E; Barnich N; Chassaing B; Boisseau N,10.1249/MSS.0000000000002809,34628447,PubMed,10.1249/mss.0000000000002809,effect of concurrent training on body composition and gut microbiota in postmenopausal women with overweight or obesity,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,,,
Effect of High-Intensity Interval Treadmill Exercise on Subsequent Lower and Upper Limb Strength Performance.,,2023,"Andrade, Luana S; David, Gabriela B; Wilhelm, Eurico N; Pinto, Stephanie S; Alberton, Cristine L",,,BASE,,effect of high intensity interval treadmill exercise on subsequent lower and upper limb strength performance,Nein,Nein,Reihenfolge nicht untersucht,Kein Interventionsdesign,,,
Effect of high-intensity resistance training on performance of competitive distance runners,,2006,"Hamilton, R. J.; Paton, C. D.; Hopkins, W. G.",10.1123/ijspp.1.1.40,,SPONET,10.1123/ijspp.1.1.40,effect of high intensity resistance training on performance of competitive distance runners,Nein,Nein,Kein Kraft- und/oder Power-Outcome,,,,
Effect of intra-session exercise sequence of an 8-week concurrent training program on the components of physical fitness in recreationally trained young adults.,Journal of sports sciences,2022,Ruiz-Alias SA; García-Pinillos F; Jaén-Carrillo D; Pérez-Castilla A,10.1080/02640414.2022.2103615,35856521,PubMed,10.1080/02640414.2022.2103615,effect of intra session exercise sequence of an 8 week concurrent training program on the components of physical fitness in recreationally trained young adults,Ja,Ja,,,,,
Effect of intra-session exercise sequence on the load–velocity relationship variables after a concurrent sprint interval and resistance training program.,International Journal of Sports Science & Coaching,2023,"Pérez-Castilla, Alejandro and García-Pinillos, Felipe and Ramirez-Campillo, Rodrigo and Ruiz-Alias, Santiago A",,,EBSCO,,effect of intra session exercise sequence on the load velocity relationship variables after a concurrent sprint interval and resistance training program,Ja,Ja,,,,,
Effect of melatonin supplementation on antioxidant status and DNA damage in high intensity trained athletes,,2017,"Ortiz-Franco, M.; Planells, E.; Quintero, B.; Acuna-Castroviejo, D.; Rusanova, I.; Escames, G.; Molina-Lopez, J.",10.1055/s-0043-119881,,SPONET,10.1055/s-0043-119881,effect of melatonin supplementation on antioxidant status and dna damage in high intensity trained athletes,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
Effect of performing high-intensity interval training and resistance training on the same day vs. different days in women with type 2 diabetes.,,2022,"Ghodrat, Leila; Razeghian Jahromi, Iman; Koushkie Jahromi, Maryam; Nemati, Javad",,,BASE,,effect of performing high intensity interval training and resistance training on the same day vs different days in women with type 2 diabetes,Nein,Nein,Falsche Population,Kein Kraft- und/oder Power-Outcome,,,
Effect of physical exercise on hippocampal volume in adults: Systematic review and meta-analysis,Science & Sports,2018,"Feter, N.; Penny, J.C.; Freitas, M.P.; Rombaldi, A.J.",https://doi.org/10.1016/j.scispo.2018.02.011,,ScienceDirect,10.1016/j.scispo.2018.02.011,effect of physical exercise on hippocampal volume in adults systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,Kein HIIT oder Krafttraining,,,
Effect of preseason concurrent muscular strength and high-intensity interval training in professional soccer players,,2010,"Wong, P.-l.; Chaouachi, A.; Chamari, K.; Dellal, A.; Wisloff, U.",10.1519/JSC.0b013e3181aa36a2,,SPONET,10.1519/jsc.0b013e3181aa36a2,effect of preseason concurrent muscular strength and high intensity interval training in professional soccer players,Nein,Nein,Reihenfolge nicht untersucht,,,,
Effect of protein quality on recovery after intense resistance training.,European journal of applied physiology,2016,Rindom E; Nielsen MH; Kececi K; Jensen ME; Vissing K; Farup J,10.1007/s00421-016-3477-9,27650605,PubMed,10.1007/s00421-016-3477-9,effect of protein quality on recovery after intense resistance training,Nein,Nein,Reihenfolge nicht untersucht,,,,
Effect of resistance-interval training with two different intensities on cytokeratin18 and some functional parameters in women with fatty liver,,2020,Somayeh Rajabi; Roya Askari; Amir Hossein Haghighi; Nasrin Razaviyanzadeh,,,BASE,,effect of resistance interval training with two different intensities on cytokeratin18 and some functional parameters in women with fatty liver,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,,,
Effect of the intrasession exercise order of flywheel resistance and high-intensity interval training on maximal strength and power performance in elite team-sport athletes,,2023,"Petré, H.; Ovendal, A.; Westblad, N.; Ten Siethoff, L.; Rosdahl, H.; Psilander, N.",10.1519/JSC.0000000000004556,,SPONET,10.1519/jsc.0000000000004556,effect of the intrasession exercise order of flywheel resistance and high intensity interval training on maximal strength and power performance in elite team sport athletes,Ja,Ja,,,,,
Effect of the order of concurrent training combined with resistance and high-intensity interval exercise on mTOR signaling and glycolytic metabolism in mouse skeletal muscle.,Physiological reports,2021,Shirai T; Hanakita H; Uemichi K; Takemasa T,10.14814/phy2.14770,33650809,PubMed,10.14814/phy2.14770,effect of the order of concurrent training combined with resistance and high intensity interval exercise on mtor signaling and glycolytic metabolism in mouse skeletal muscle,Ja,Nein,Kein Kraft- und/oder Power-Outcome,,,,
Effectiveness of Ramadan diurnal intermittent fasting and concurrent training in the management of obesity: is the combination worth the weight?,"Nutrition, Metabolism and Cardiovascular Diseases",2023,"Maaloul, Rami; Marzougui, Houssem; Ben Dhia, Imen; Ghroubi, Sameh; Tagougui, Sémah; Kallel, Choumous; Driss, Tarak; Elleuch, Mohamed Habib; Ayadi, Fatma; Turki, Mouna; Hammouda, Omar",https://doi.org/10.1016/j.numecd.2022.12.004,,ScienceDirect,10.1016/j.numecd.2022.12.004,effectiveness of ramadan diurnal intermittent fasting and concurrent training in the management of obesity is the combination worth the weight,Nein,Nein,Reihenfolge nicht untersucht,Kein Kraft- und/oder Power-Outcome,,,
Effects of 12 weeks of power-oriented resistance training plus high-intensity interval training on metabolic syndrome factors in older people with COPD,,2024,Romero-Valia Lucia; Baltasar-Fernandez Ivan; Rodriguez-Lopez Carlos; Losa-Reyna Jose; Alfaro-Acha Ana; Guadalupe-Grau Amelia; Ara Ignacio; Alegre Luis M.; García-García Francisco J.; Alcazar Julian,,,BASE,,effects of 12 weeks of power oriented resistance training plus high intensity interval training on metabolic syndrome factors in older people with copd,Nein,Nein,Falsche Population,,,,
"Effects of 6 Weeks of Low-Volume Combined Training on Muscle Power, Muscular Strength, and Aerobic Power in Active Young Adults",,2023,Ricardo Martins; Nuno Loureiro,,,BASE,,effects of 6 weeks of low volume combined training on muscle power muscular strength and aerobic power in active young adults,Nein,Nein,Reihenfolge nicht untersucht,,,,
"Effects of 6 Weeks of Low-Volume Combined Training on Muscle Power, Muscular Strength, and Aerobic Power in Active Young Adults ; Los Efectos de 6 Semanas de Entrenamiento Combinado de Bajo Volumen Sobre la Potencia Muscular, la Fuerza Muscular y la Potencia Aeróbica en Adultos Jóvenes Activos (Effects of 6 Weeks of Low-Volume Combined Training on Muscle Power, Muscular Strength, and Aerobic Power in Active Young Adults) ; Os efeitos de 6 semanas de treinamento combinado de baixo volume na potência muscular, força muscular e potência aeróbica em jovens adultos ativos",,2023,"Martins, Ricardo; Loureiro , Nuno",,,BASE,,effects of 6 weeks of low volume combined training on muscle power muscular strength and aerobic power in active young adults los efectos de 6 semanas de entrenamiento combinado de bajo volumen sobre la potencia muscular la fuerza muscular y la potencia aer bica en adultos j venes activos effects of 6 weeks of low volume combined training on muscle power muscular strength and aerobic power in active young adults os efeitos de 6 semanas de treinamento combinado de baixo volume na pot ncia muscular for a muscular e pot ncia aer bica em jovens adultos ativos,Nein,Nein,Reihenfolge nicht untersucht,,,,Duplikat
"Effects of 8 weeks of high-intensity interval training or resistance training on muscle strength, muscle power and cardiorespiratory responses in trained young men",,2022,"Molinari, T.; Molinari, T.; Rabello, R.; Rodrigues, R.",10.1007/s11332-021-00872-2,,SPONET,10.1007/s11332-021-00872-2,effects of 8 weeks of high intensity interval training or resistance training on muscle strength muscle power and cardiorespiratory responses in trained young men,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
Effects of a motor and cognitive training program on executive function and different biomarkers related to muscle-brain crosstalk in breast cancer survivors: 3-arm randomised controlled BRAINonFIT study protocol,Contemporary Clinical Trials,2024,"Orellana-Jaén, Jesus; Mora-Fernández, Matilde; Carrasco-Páez, Luis",https://doi.org/10.1016/j.cct.2024.107672,,ScienceDirect,10.1016/j.cct.2024.107672,effects of a motor and cognitive training program on executive function and different biomarkers related to muscle brain crosstalk in breast cancer survivors 3 arm randomised controlled brainonfit study protocol,Nein,Nein,Falsche Population,Kein HIIT oder Krafttraining,Keine Kraft- und/oder Power-Outcome,,
Effects of a Sprint Interval and Resistance Concurrent Exercise Training Program on Aerobic Capacity of Inactive Adult Women.,Journal of strength and conditioning research,2019,Salom Huffman L; Wadsworth DD; McDonald JR; Foote SJ; Hyatt H; Pascoe DD,10.1519/JSC.0000000000002013,28777244,PubMed,10.1519/jsc.0000000000002013,effects of a sprint interval and resistance concurrent exercise training program on aerobic capacity of inactive adult women,Nein,Nein,Falsche Population,,,,
Effects of beta-alanine supplementation on performance and body composition in collegiate wrestlers and football players,,2010,"Kern, B.; Robinson, T. L.",10.1097/01.JSC.0000367146.78325.98,,SPONET,10.1097/01.jsc.0000367146.78325.98,effects of beta alanine supplementation on performance and body composition in collegiate wrestlers and football players,Nein,Nein,Reihenfolge nicht untersucht,,,,
Effects of Combined Training Programs in Individuals with Fibromyalgia: A Systematic Review.,"Healthcare (Basel, Switzerland)",2023,Sousa M; Oliveira R; Brito JP; Martins AD; Moutão J; Alves S,10.3390/healthcare11121708,37372826,PubMed,10.3390/healthcare11121708,effects of combined training programs in individuals with fibromyalgia a systematic review,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
Effects of Concurrent High-Intensity and Strength Training on Muscle Power and Aerobic Performance in Young Soccer Players during the Pre-Season,,2023,Pierros Thomakos; Konstantinos Spyrou; Christos Katsikas; Nikolaos D. Geladas; Gregory C. Bogdanis,,,BASE,,effects of concurrent high intensity and strength training on muscle power and aerobic performance in young soccer players during the pre season,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,,,
Effects of concurrent resistance and endurance training using continuous or intermittent protocols on muscle hypertrophy: systematic review with meta-analysis,,2024,"Monserdà-Vilaró, Aniol; Balsalobre Fernández, Carlos; Alix Fages, Carlos; Jiménez, Sergio L.; Hoffman, Jay R.",,,BASE,,effects of concurrent resistance and endurance training using continuous or intermittent protocols on muscle hypertrophy systematic review with meta analysis,Nein,Nein,Review / Kein Originalartikel,,,,
Effects of concurrent strength and endurance training on genes related to myostatin signaling pathway and muscle fiber responses.,,2014,"de Souza, Eduardo O; Tricoli, Valmor; Aoki, Marcelo S; Roschel, Hamilton; Brum, Patrícia C; Bacurau, Aline V N; Silva-Batista, Carla; Wilson, Jacob M; Neves, Manoel; Soares, Antonio G; JOUR",,,BASE,,effects of concurrent strength and endurance training on genes related to myostatin signaling pathway and muscle fiber responses,Nein,Nein,Reihenfolge nicht untersucht,,,,
Effects of Concurrent Strength and HIIT-Based Endurance Training on Physical Fitness in Trained Team Sports Players: A Systematic Review and Meta-Analysis.,International journal of environmental research and public health,2022,Kang J; Ye Z; Yin X; Zhou C; Gong B,10.3390/ijerph192214800,36429528,PubMed,10.3390/ijerph192214800,effects of concurrent strength and hiit based endurance training on physical fitness in trained team sports players a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,,,,
Effects of Concurrent Training and a Multi-Ingredient Performance Supplement Containing,,2021,"Kreipke PhD, Vince C; Moffatt PhD, Robert J; Tanner Ma, Charles J; Ormsbee PhD, Michael J",,,BASE,,effects of concurrent training and a multi ingredient performance supplement containing,Nein,Nein,Reihenfolge nicht untersucht,,,,
"Effects of Concurrent Training and a Multi-Ingredient Performance Supplement Containing Rhodiola rosea and Cordyceps sinensis on Body Composition, Performance, and Health in Active Men",,2020,"Vince C. Kreipke, PhD (9540472); Robert J. Moffatt, PhD (9540475); Charles J. Tanner, MA (9540478); Michael J. Ormsbee, PhD (9540481)",,,BASE,,effects of concurrent training and a multi ingredient performance supplement containing rhodiola rosea and cordyceps sinensis on body composition performance and health in active men,Nein,Nein,Reihenfolge nicht untersucht,,,,Duplikat
Effects of Different Types of High-Intensity Interval Training (HIIT) on Endurance and Strength Parameters in Children and Adolescents.,International journal of environmental research and public health,2022,Bossmann T; Woll A; Wagner I,10.3390/ijerph19116855,35682437,PubMed,10.3390/ijerph19116855,effects of different types of high intensity interval training hiit on endurance and strength parameters in children and adolescents,Nein,Nein,Falsche Population,,,,
Effects of exercise on the prevention of conditions leading to the need for long-term care.,Aging clinical and experimental research,2013,Ohtake M; Morikagi Y; Suzuki I; Kanoya Y; Sato C,10.1007/s40520-013-0016-y,23740633,PubMed,10.1007/s40520-013-0016-y,effects of exercise on the prevention of conditions leading to the need for long term care,Nein,Nein,Falsche Population,Kein HIIT oder Krafttraining,,,
Effects of exercise programs on phase angle in older adults: A systematic review and meta-analysis,Archives of Gerontology and Geriatrics,2022,"Martins, Alexandre Duarte; Fernandes, Orlando; Oliveira, Rafael; Bilro, Vitor; Lopes, Gabriel; Rego, António Maia; Parraça, José A.; Raimundo, Armando Manuel Mendonça; Brito, João Paulo",https://doi.org/10.1016/j.archger.2022.104787,,ScienceDirect,10.1016/j.archger.2022.104787,effects of exercise programs on phase angle in older adults a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,,,,
Effects of high-intensity interval cycling performed after resistance training on muscle strength and hypertrophy,,2017,S Tsitkanou; K Spengos; A-N Stasinaki; N Zaras; G Bogdanis; G Papadimas; G Terzis,,,BASE,,effects of high intensity interval cycling performed after resistance training on muscle strength and hypertrophy,Nein,Nein,Reihenfolge nicht untersucht,,,,
Effects of high-intensity interval training combined with traditional strength or power training on functionality and physical fitness in healthy older men: A randomized controlled trial,Experimental Gerontology,2021,"Müller, Diana Carolina; Boeno, Francesco Pinto; Izquierdo, Mikel; Aagaard, Per; Teodoro, Juliana Lopes; Grazioli, Rafael; Cunha, Giovani; Ferrari, Rodrigo; Saez de Asteasu, Mikel L.; Pinto, Ronei Silveira; Cadore, Eduardo Lusa",https://doi.org/10.1016/j.exger.2021.111321,,ScienceDirect,10.1016/j.exger.2021.111321,effects of high intensity interval training combined with traditional strength or power training on functionality and physical fitness in healthy older men a randomized controlled trial,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,,,
Effects of high-intensity training on performance and physiology of endurance athletes,,2005,"Paton, C. D.; Hopkins, W. G.",,,SPONET,,effects of high intensity training on performance and physiology of endurance athletes,Nein,Nein,Review / Kein Originalartikel,,,,
Effects of human concurrent aerobic and resistance training on cognitive health: A systematic review with meta-analysis,International Journal of Clinical and Health Psychology,2025,"Zhang, Mingyang; Fang, Wangfan; Wang, Jiahong",https://doi.org/10.1016/j.ijchp.2025.100559,,ScienceDirect,10.1016/j.ijchp.2025.100559,effects of human concurrent aerobic and resistance training on cognitive health a systematic review with meta analysis,Nein,Nein,Review / Kein Originalartikel,Falsche Population,Kein HIIT oder Krafttraining,,
Effects of moderate- versus mixed-intensity rowing training on physiological responses and performance in highly trained adolescent rowers: A pilot study,,2025,"Panascì, M.; Di Gennaro, S.; Ferrando, V.; Bisio, A.; Filipas, L.; Ruggeri, P.; Faelli, E.",10.1123/ijspp.2024-0133,,SPONET,10.1123/ijspp.2024-0133,effects of moderate versus mixed intensity rowing training on physiological responses and performance in highly trained adolescent rowers a pilot study,Nein,Nein,Falsche Population,Keine Kombination von Krafttraining und HIIT,Keine Kraft- und/oder Power-Outcome,,
Effects of moderate- versus mixed-intensity training on VO2peak in young well-trained rowers,,2021,"Kirchenberger, T.; Ketelhut, S.; Ketelhut, R. G.",10.3390/sports9070092,,SPONET,10.3390/sports9070092,effects of moderate versus mixed intensity training on vo2peak in young well trained rowers,Nein,Nein,Falsche Population,Keine Kombination von Krafttraining und HIIT,Keine Kraft- und/oder Power-Outcome,,
Effects of oral capsaicinoids and capsinoids supplementation on resistance and high intensity interval training,,2023,"Jiménez-Martínez, P.; Ramirez-Campillo, R.; Flandez, J.; Alix-Fages, C.; Baz-Valle, E.; Colado, J. C.",10.14198/jhse.2023.182.09,,SPONET,10.14198/jhse.2023.182.09,effects of oral capsaicinoids and capsinoids supplementation on resistance and high intensity interval training,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
Effects of oxidizing potential of working muscles on blood pressure of athletes from strength sports,,2021,"Miroshnikov, A. B.; Levashov, P. N.; Tarasov, A. V.; Formenov, A. D.",,,SPONET,,effects of oxidizing potential of working muscles on blood pressure of athletes from strength sports,Nein,Nein,Falsche Population,Keine Kombination von Krafttraining und HIIT,Keine Kraft- und/oder Power-Outcome,,
Effects of physical exercise on myelin sheath regeneration: A systematic review and meta-analysis,Science & Sports,2018,"Feter, N.; Freitas, M.P.; Gonzales, N.G.; Umpierre, D.; Cardoso, R.K.; Rombaldi, A.J.",https://doi.org/10.1016/j.scispo.2017.06.009,,ScienceDirect,10.1016/j.scispo.2017.06.009,effects of physical exercise on myelin sheath regeneration a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,Kein HIIT oder Krafttraining,,,
Effects of preoperative combined aerobic and resistance exercise training in cancer patients undergoing tumour resection surgery: A systematic review of randomised trials,Surgical Oncology,2018,"Piraux, Elise; Caty, Gilles; Reychler, Gregory",https://doi.org/10.1016/j.suronc.2018.07.007,,ScienceDirect,10.1016/j.suronc.2018.07.007,effects of preoperative combined aerobic and resistance exercise training in cancer patients undergoing tumour resection surgery a systematic review of randomised trials,Nein,Nein,Review / Kein Originalartikel,Falsche Population,Kein HIIT oder Krafttraining,,
Effects of Preoperative High-Intensity Interval Training Combined With Team Empowerment Education in Lung Cancer Patients With Surgery: A Quasi-experimental Trial.,Cancer nursing,2024,Lu HB; Wang YQ; Liu X; Ma RC; Yin YY; Song CY; Yang TT; Xie J,10.1097/NCC.0000000000001265,37430424,PubMed,10.1097/ncc.0000000000001265,effects of preoperative high intensity interval training combined with team empowerment education in lung cancer patients with surgery a quasi experimental trial,Nein,Nein,Falsche Population,Keine Kombination von Krafttraining und HIIT,Keine Kraft- und/oder Power-Outcome,,
EFFECTS OF RESISTANCE TRAINING ON MITOCHONDRIAL ADAPTATIONS TO SUBSEQUENT ENDURANCE TRAINING,,2023,"Mesquita, PHC; Godwin, JS; Ruple, BA; Sexton, CL; McIntosh, MC; Osburn, SC; Mueller, BJ; Kontos, N; Libardi, CA; Young, KC; Roberts, MD; Kavazis, FACSM, AN",,,BASE,,effects of resistance training on mitochondrial adaptations to subsequent endurance training,Nein,Nein,Falsche Population,Keine Kombination von Krafttraining und HIIT,,,
"Effects of Shroom Tech Sport Supplementation and Concurrent Training on Body Composition, Performance, and Health in Collegiate-Aged Men",,2016,,,,BASE,,effects of shroom tech sport supplementation and concurrent training on body composition performance and health in collegiate aged men,Nein,Nein,Reihenfolge nicht untersucht,,,,
Effects of static stretching on 1-mile uphill run performance.,Journal of strength and conditioning research,2014,Lowery RP; Joy JM; Brown LE; Oliveira de Souza E; Wistocki DR; Davis GS; Naimo MA; Zito GA; Wilson JM,10.1519/JSC.0b013e3182956461,23588487,PubMed,10.1519/jsc.0b013e3182956461,effects of static stretching on 1 mile uphill run performance,Nein,Nein,Keine Kombination von Krafttraining und HIIT,Kein Kraft- und/oder Power-Outcome,,,
Effects of the Intrasession Exercise Sequence of Concurrent Training on Older Women's Body Composition and Physical Fitness.,"Retos: Nuevas Perspectivas de Educación Física, Deporte y Recreación",2022,"Camilo Peña-Ibagon, Jhonatan and Felipe Martin-alemán, William and Alberto Cardozo, Luis and Carlos and Castillo, Alberto and Andrés Yanez, Cristian and Téllez Tinjacá, Luis Andrés",,,EBSCO,,effects of the intrasession exercise sequence of concurrent training on older women s body composition and physical fitness,Nein,Nein,Falsche Population,Kein HIIT oder Krafttraining,,,
Effects of two deep water training programs on cardiorespiratory and muscular strength responses in older adults,Experimental Gerontology,2015,"Kanitz, Ana Carolina; Delevatti, Rodrigo Sudatti; Reichert, Thais; Liedtke, Giane Veiga; Ferrari, Rodrigo; Almada, Bruna Pereira; Pinto, Stephanie Santana; Alberton, Cristine Lima; Kruel, Luiz Fernando Martins",https://doi.org/10.1016/j.exger.2015.02.013,,ScienceDirect,10.1016/j.exger.2015.02.013,effects of two deep water training programs on cardiorespiratory and muscular strength responses in older adults,Nein,Nein,Kein HIIT oder Krafttraining,Reihenfolge nicht untersucht,,,
Efficacy of different modes of exercise-based cardiac rehabilitation delivery for patients with heart failure: a systematic review and network meta-analysis.,Cardiovascular diagnosis and therapy,2025,Liu YT; Deng CJ; Yang FL; Yang HY; Wang ZL; Yin X; Pan Y; Wu TT; Xie X,10.21037/cdt-2024-698,40656778,PubMed,10.21037/cdt-2024-698,efficacy of different modes of exercise based cardiac rehabilitation delivery for patients with heart failure a systematic review and network meta analysis,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
Efficacy of interval-based training on conditioning of amateur field hockey players.,Journal of strength and conditioning research,2009,Chapman DW; Newton MJ; McGuigan MR,10.1519/JSC.0b013e3181a00cd3,19387410,PubMed,10.1519/jsc.0b013e3181a00cd3,efficacy of interval based training on conditioning of amateur field hockey players,Nein,Nein,Keine Kombination von Krafttraining und HIIT,Kein Kraft- und/oder Power-Outcome,,,
Effort and duration matched `High Intensity Interval Training` using cycle ergometry compared to leg press resistance training.,,2019,"Silva, M. H.; de Lira, C. A. B.; Steele, J.; Fisher, J.; Mota, J. F.; Gomes, A. C.; Gentil, P.",10.31236/osf.io/gkxaf,,SPONET,10.31236/osf.io/gkxaf,effort and duration matched high intensity interval training using cycle ergometry compared to leg press resistance training,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
Elite cross-country skiers develop greater physiological adaptations than biathletes in summer macrocycle,,2025,"Feofilaktov, V. V.; Heil, D.; Myakinchenko, E. B.; Smith, D. M.; Kruchkov, A. S.",10.1519/JSC.0000000000005108,,SPONET,10.1519/jsc.0000000000005108,elite cross country skiers develop greater physiological adaptations than biathletes in summer macrocycle,Nein,Nein,Kein Interventionsdesign,Keine Kombination von Krafttraining und HIIT,,,
Endurance training intensity does not mediate interference to maximal lower-body strength gain during short-term concurrent training,,2016,Jackson Fyfe; JD Bartlett; ED Hanson; NK Stepto; DJ Bishop,,,BASE,,endurance training intensity does not mediate interference to maximal lower body strength gain during short term concurrent training,Nein,Nein,Review / Kein Originalartikel,Kein Interventionsdesign,,,
Endurance training - Science and practice,,2023,,,,SPONET,,endurance training science and practice,Nein,Nein,Review / Kein Originalartikel,Reihenfolge nicht untersucht,,,
Essentials of strength training and conditioning,,2016,,,,SPONET,,essentials of strength training and conditioning,Nein,Nein,Review / Kein Originalartikel,,,,
Evaluating the Field 2-Point Method for the Relative Load-Velocity Relationship Monitoring in Free-Weight Back Squats.,Journal of human kinetics,2025,Chen Z; Zhang X; García-Ramos A,10.5114/jhk/193975,40463315,PubMed,10.5114/jhk/193975,evaluating the field 2 point method for the relative load velocity relationship monitoring in free weight back squats,Nein,Nein,Kein Interventionsdesign,Kein HIIT oder Krafttraining,,,
Evaluation of Performance Improvements After Either Resistance Training or Sprint Interval–Based Concurrent Training,,2016,"Laird, Richard H.; Elmer, David J.; Barberio, Matthew D.; Salom, Lorena P.; Lee, Khalil A.; JOUR",,,BASE,,evaluation of performance improvements after either resistance training or sprint interval based concurrent training,Nein,Nein,Reihenfolge nicht untersucht,,,,
Evaluation of psychological measures for the assessment of recovery and stress during a shock-microcycle in strength and high-intensity interval training,,2017,"Hitzschke, B.; Wiewelhove, T.; Raeder, C.; Ferrauti, A.; Meyer, T.; Pfeiffer, M.; Kellmann, M.; Kölling, S.",10.1016/j.peh.2017.08.001,,SPONET,10.1016/j.peh.2017.08.001,evaluation of psychological measures for the assessment of recovery and stress during a shock microcycle in strength and high intensity interval training,Nein,Nein,Keine Kombination von Krafttraining und HIIT,Kein Kraft- und/oder Power-Outcome,,,
Evidence-based training recommendations for the elite judoka,,2019,"Harris, D. M.; Foulds, S.; Latella, C.",10.1519/SSC.0000000000000426,,SPONET,10.1519/ssc.0000000000000426,evidence based training recommendations for the elite judoka,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
Exercício e diabetes mellitus tipo 2,,2020,"Henriques, Pedro Filipe Palminha",,,BASE,,exerc cio e diabetes mellitus tipo 2,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
Exercise-mediated reinnervation of skeletal muscle in elderly people: An update.,European journal of translational myology,2022,Coletti C; Acosta GF; Keslacy S; Coletti D,10.4081/ejtm.2022.10416,35234025,PubMed,10.4081/ejtm.2022.10416,exercise mediated reinnervation of skeletal muscle in elderly people an update,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,Falsche Population,,
Exercise Testing of Muscle Strength in Military.,Military medicine,2019,Nikolaidis PT; Papaioannou KG; Rosemann T; Knechtle B,10.1093/milmed/usz152,31247093,PubMed,10.1093/milmed/usz152,exercise testing of muscle strength in military,Nein,Nein,Review / Kein Originalartikel,,,,
Exercise training does not improve myocardial diastolic tissue velocities in Type 2 diabetes.,Cardiovascular ultrasound,2007,Loimaala A; Groundstroem K; Rinne M; Nenonen A; Huhtala H; Vuori I,10.1186/1476-7120-5-32,17897465,PubMed,10.1186/1476-7120-5-32,exercise training does not improve myocardial diastolic tissue velocities in type 2 diabetes,Nein,Nein,Falsche Population,Kein HIIT oder Krafttraining,,,
Exercise training in heart transplantation.,World journal of transplantation,2021,Kourek C; Karatzanos E; Nanas S; Karabinis A; Dimopoulos S,10.5500/wjt.v11.i11.466,34868897,PubMed,10.5500/wjt.v11.i11.466,exercise training in heart transplantation,Nein,Nein,Review / Kein Originalartikel,Falsche Population,Keine Kombination von Krafttraining und HIIT,,
Exercise training-induced changes in exerkine concentrations may be relevant to the metabolic control of type 2 diabetes mellitus patients: A systematic review and meta-analysis of randomized controlled trials,Journal of Sport and Health Science,2023,"García-Hermoso, Antonio; Ramírez-Vélez, Robinson; Díez, Javier; González, Arantxa; Izquierdo, Mikel",https://doi.org/10.1016/j.jshs.2022.11.003,,ScienceDirect,10.1016/j.jshs.2022.11.003,exercise training induced changes in exerkine concentrations may be relevant to the metabolic control of type 2 diabetes mellitus patients a systematic review and meta analysis of randomized controlled trials,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
"Fasted exercise does not improve postprandial lipemia responses to different meals in lean and obese subjects: A crossover, randomized clinical trial",Clinical Nutrition ESPEN,2021,"Lopes, André Luiz; Macedo, Rodrigo Cauduro Oliveira; Krüger, Renata Lopes; Friedman, Rogério; Carteri, Randhall Bruce; Reischak-Oliveira, Álvaro",https://doi.org/10.1016/j.clnesp.2020.11.013,,ScienceDirect,10.1016/j.clnesp.2020.11.013,fasted exercise does not improve postprandial lipemia responses to different meals in lean and obese subjects a crossover randomized clinical trial,Nein,Nein,Kein HIIT oder Krafttraining,Kein Kraft- und/oder Power-Outcome,,,
